Cidade,População,Gentílico,Território
Abreulândia,2.576,abreulandense,2.576km²
Aguiarnópolis,4.497,aguiarnopolense,4.497km²
Aliança do Tocantins,5.147,aliancense,5.147km²
Almas,6.499,almense,6.499km²
Alvorada,8.802,alvoradense,8.802km²
Ananás,10.325,ananaense,10.325km²
Angico,2.876,angicoense,2.876km²
Aparecida do Rio Negro,4.856,aparecidense,4.856km²
Aragominas,5.290,aragominense,5.290km²
Araguacema,5.927,araguacemense,5.927km²
Araguaçu,8.133,araguaçuense,8.133km²
Araguaína,171.301,araguainense,171.301km²
Araguanã,4.310,araguanaense,4.310km²
Araguatins,31.918,araguatinense,31.918km²
Arapoema,5.550,arapoemense,5.550km²
Arraias,10.287,arraiano,10.287km²
Augustinópolis,17.484,augustinopolino,17.484km²
Aurora do Tocantins,3.342,aurorense,3.342km²
Axixá do Tocantins,10.262,axixaense,10.262km²
Babaçulândia,7.880,babaçulense,7.880km²
Bandeirantes do Tocantins,3.407,bandeirantense,3.407km²
Barra do Ouro,4.476,barraourense,4.476km²
Barrolândia,4.846,barrolandense,4.846km²
Bernardo Sayão,4.229,bernardense,4.229km²
Bom Jesus do Tocantins,4.038,bonjesuense,4.038km²
Brasilândia do Tocantins,1.974,brasilandense,1.974km²
Brejinho de Nazaré,4.725,brejinense,4.725km²
Buriti do Tocantins,10.307,buritinense,10.307km²
Cachoeirinha,1.961,cachoeirense,1.961km²
Campos Lindos,8.653,campolindense,8.653km²
Cariri do Tocantins,4.007,caririense,4.007km²
Carmolândia,2.201,carmolandense,2.201km²
Carrasco Bonito,3.318,carrascoense,3.318km²
Caseara,4.847,casearense,4.847km²
Centenário,2.131,centenarense,2.131km²
Chapada da Natividade,3.117,chapadense,3.117km²
Chapada de Areia,1.501,chapadareiense,1.501km²
Colinas do Tocantins,34.233,colinense,34.233km²
Colméia,8.941,colmeiense,8.941km²
Combinado,4.756,combinadense,4.756km²
Conceição do Tocantins,3.887,conceicionense,3.887km²
Couto Magalhães,5.331,coutoense,5.331km²
Cristalândia,6.371,cristalandense,6.371km²
Crixás do Tocantins,1.470,crixaense,1.470km²
Darcinópolis,5.827,darcinopolino,5.827km²
Dianópolis,17.739,dianopolino,17.739km²
Divinópolis do Tocantins,7.024,divinopolino,7.024km²
Dois Irmãos do Tocantins,6.327,doisirmanense,6.327km²
Dueré,4.248,duerense,4.248km²
Esperantina,7.530,esperantinense,7.530km²
Fátima,3.467,fatimense,3.467km²
Figueirópolis,5.211,figueiropolense,5.211km²
Filadélfia,7.712,filadelfiense,7.712km²
Goianorte,4.738,goianortense,4.738km²
Goiatins,12.433,goiatinense,12.433km²
Guaraí,24.775,guaraiense,24.775km²
Gurupi,85.125,gurupiense,85.125km²
Ipueiras,1.590,ipueirense,1.590km²
Itacajá,6.819,itacajaense,6.819km²
Itaguatins,5.172,itaguatinense,5.172km²
Itapiratins,3.577,itapiratinense,3.577km²
Itaporã do Tocantins,2.404,itaporanense,2.404km²
Jaú do Tocantins,3.334,jauense,3.334km²
Juarina,2.243,juarinense,2.243km²
Lagoa da Confusão,15.288,lagoense,15.288km²
Lajeado,3.357,lajeadense,3.357km²
Lavandeira,1.626,lavandeirense,1.626km²
Lizarda,2.999,lizardense,2.999km²
Luzinópolis,2.717,luzinopolino,2.717km²
Marianópolis do Tocantins,4.615,marianopolino,4.615km²
Mateiros,2.748,mateirense,2.748km²
Maurilândia do Tocantins,3.095,maurilandense,3.095km²
Miracema do Tocantins,18.566,miracemense,18.566km²
Miranorte,12.701,miranortense,12.701km²
Monte do Carmo,5.694,carmelito,5.694km²
Monte Santo do Tocantins,2.396,montesantense,2.396km²
Muricilândia,3.367,muricilandense,3.367km²
Natividade,8.754,nativitano,8.754km²
Nazaré,4.521,nazareno,4.521km²
Nova Olinda,10.367,nova-olindense,10.367km²
Nova Rosalândia,3.362,rosalandense,3.362km²
Novo Acordo,3.969,novoacordino,3.969km²
Novo Alegre,1.846,novoalegrense,1.846km²
Novo Jardim,2.230,novojardinense,2.230km²
Oliveira de Fátima,1.164,oliverense,1.164km²
Palmas,302.692,palmense,302.692km²
Palmeirante,4.798,palmeirantense,4.798km²
Palmeiras do Tocantins,4.872,palmeirense,4.872km²
Palmeirópolis,6.975,palmeiropolitano,6.975km²
Paraíso do Tocantins,52.360,paraisense,52.360km²
Paranã,10.542,paranãense,10.542km²
Peixe,9.317,peixense,9.317km²
Pequizeiro,4.921,pequizeirense,4.921km²
Pindorama do Tocantins,4.478,pindoramense,4.478km²
Piraquê,2.282,piraquêense,2.282km²
Pium,7.128,piuense,7.128km²
Ponte Alta do Bom Jesus,4.220,pontealtense,4.220km²
Porto Alegre do Tocantins,2.866,porto-alegrense,2.866km²
Porto Nacional,64.418,portuense,64.418km²
Praia Norte,9.044,praianortense,9.044km²
Presidente Kennedy,3.047,kenediense,3.047km²
Pugmil,2.193,pugmilense,2.193km²
Recursolândia,3.421,recursolandense,3.421km²
Riachinho,3.960,riachiense,3.960km²
Rio da Conceição,1.768,conceiçãoense,1.768km²
Rio dos Bois,2.738,rioboiense,2.738km²
Rio Sono,4.841,riosonense,4.841km²
Sampaio,4.215,sampaiense,4.215km²
Sandolândia,3.723,sandolandense,3.723km²
Santa Fé do Araguaia,7.216,santaféense,7.216km²
Santa Maria do Tocantins,2.680,santamarinense,2.680km²
São Sebastião do Tocantins,4.100,sansebastianense,4.100km²
Silvanópolis,5.108,silvanopolino,5.108km²
Sítio Novo do Tocantins,10.830,sítionovense,10.830km²
Sucupira,1.577,sucupirense,1.577km²
Tabocão,3.455,tabocoense,3.455km²
Taguatinga,14.011,taguatinense,14.011km²
Taipas do Tocantins,2.021,taipense,2.021km²
Talismã,2.456,talismãense,2.456km²
Tocantínia,7.459,tocantiniense,7.459km²
Tocantinópolis,22.615,tocantinopolino,22.615km²
Tupirama,1.909,tupiramense,1.909km²
Tupiratins,1.874,tupiratinense,1.874km²
Wanderlândia,10.522,wanderlandiense,10.522km²
Xambioá,10.517,xambioaense,10.517km²
Formoso do Araguaia,18.881,formosense do araguaia,18.881km²
Lagoa do Tocantins,3.516,lagoense do tocantins,3.516km²
Pau D'Arco,4.043,pau d’arquense,4.043km²
Pedro Afonso,14.055,pedro afonsino,14.055km²
Ponte Alta do Tocantins,7.586,pontealtense do tocantins,7.586km²
Santa Rita do Tocantins,2.219,santa ritense,2.219km²
Santa Rosa do Tocantins,4.653,santa rosense,4.653km²
Santa Tereza do Tocantins,2.781,santa terezense,2.781km²
Santa Terezinha do Tocantins,2.406,terezinense do tocantins,2.406km²
São Bento do Tocantins,5.654,são bentense,5.654km²
São Félix do Tocantins,1.783,são felense,1.783km²
São Miguel do Tocantins,13.241,são miguelense,13.241km²
São Salvador do Tocantins,2.385,são salvadorense,2.385km²
São Sebastião do Tocantins,4.100,sansebastianense,4.100km²
São Valério,4.422,são valeriano,4.422km²
